country,region_id,region_name,risk_zone,n_years,one_bad_year_applied,lr_std_30yr_pct,lr_std_5yr_pct,lr_std_pricing_pct,lr_full_pricing_pct,premium_std_0pct,premium_std_eur_ha,premium_std_50pct,premium_full_0pct,premium_full_eur_ha,lr_pricing_pct,lr_full_mean_pct,lr_30yr_pct,one_bad_year,worst_year,lr_std_max_pct,gross_premium_eur_ha,commercial_premium_eur_ha,lr_50pct_deductible_pct,premium_50pct_eur_ha,lr_5yr_pct,premium_eur_ha
MD,MD-OC,Ocnița,Z2,3,,,,,,,,,,,25.25,5.54,25.25,1,1995,0.33,24.24,31.51,12.62,12.12,,24.24
MD,MD-OR,Orhei,Z2,3,,,,,,,,,,,25.49,5.81,25.49,1,1995,1.29,24.47,31.81,12.74,12.23,,24.47
MD,MD-RE,Rezina,Z2,3,,,,,,,,,,,25.25,5.49,25.25,1,1995,0.33,24.24,31.51,12.62,12.12,,24.24
MD,MD-RI,Rîșcani,Z1,3,,,,,,,,,,,25.25,5.54,25.25,1,1995,0.33,24.24,31.51,12.62,12.12,,24.24
MD,MD-SD,Șoldănești,Z2,3,,,,,,,,,,,25.49,5.81,25.49,1,1995,1.29,24.47,31.81,12.74,12.23,,24.47
MD,MD-SI,Sîngerei,Z1,3,,,,,,,,,,,25.25,5.49,25.25,1,1995,0.33,24.24,31.51,12.62,12.12,,24.24
MD,MD-SO,Soroca,Z1,3,,,,,,,,,,,25.25,5.49,25.25,1,1995,0.33,24.24,31.51,12.62,12.12,,24.24
MD,MD-ST,Strășeni,Z2,3,,,,,,,,,,,25.25,5.49,25.25,1,1995,0.33,24.24,31.51,12.62,12.12,,24.24
MD,MD-ST2,Ștefan Vodă,Z1,3,,,,,,,,,,,25.28,5.48,25.28,1,1995,0.46,24.27,31.55,12.64,12.13,,24.27
MD,MD-TA,Taraclia,Z1,3,,,,,,,,,,,25.79,6.32,25.79,1,1995,2.51,24.76,32.19,12.9,12.38,,24.76
MD,MD-TE,Telenești,Z2,3,,,,,,,,,,,25.25,5.43,25.25,1,1995,0.33,24.24,31.51,12.62,12.12,,24.24
MD,MD-UN,Ungheni,Z2,3,,,,,,,,,,,25.25,5.8,25.25,1,1995,0.33,24.24,31.51,12.62,12.12,,24.24
PL,PL-DS,Lower Silesia,Z3,3,,,,,,,,,,,25.25,8.45,25.25,1,1995,0.33,24.24,31.51,12.62,12.12,,24.24
PL,PL-KP,Kuyavian-Pomeranian,Z3,3,,,,,,,,,,,35.61,22.55,35.61,1,1997,35.74,34.19,44.45,17.8,17.09,,34.18
PL,PL-LB,Lubusz,Z3,3,,,,,,,,,,,27.54,9.25,27.54,1,1997,6.35,26.44,34.37,13.77,13.22,,26.43
PL,PL-LD,Łódź,Z1,3,,,,,,,,,,,34.57,21.23,34.57,1,1997,31.47,33.19,43.15,17.28,16.59,,33.19
PL,PL-LU,Lublin,Z2,3,,,,,,,,,,,25.25,11.12,25.25,1,1995,0.33,24.24,31.51,12.62,12.12,,24.24
PL,PL-MA,Lesser Poland,Z2,3,,,,,,,,,,,25.25,5.33,25.25,1,1995,0.33,24.24,31.51,12.62,12.12,,24.24
PL,PL-MZ,Masovian,Z1,3,,,,,,,,,,,25.25,10.77,25.25,1,1995,0.33,24.24,31.51,12.62,12.12,,24.24
PL,PL-OP,Opole,Z2,3,,,,,,,,,,,25.25,10.66,25.25,1,1995,0.33,24.24,31.51,12.62,12.12,,24.24
PL,PL-PD,Podlaskie,Z1,3,,,,,,,,,,,25.25,7.59,25.25,1,1995,0.33,24.24,31.51,12.62,12.12,,24.24
PL,PL-PK,Subcarpathian,Z2,3,,,,,,,,,,,25.25,10.19,25.25,1,1995,0.33,24.24,31.51,12.62,12.12,,24.24
PL,PL-PM,Pomerania,Z3,3,,,,,,,,,,,29.89,12.04,29.89,1,1997,10.85,28.69,37.3,14.94,14.34,,28.7
PL,PL-SK,Świętokrzyskie,Z2,3,,,,,,,,,,,26.72,14.65,26.72,1,1995,4.72,25.65,33.34,13.36,12.83,,25.65
PL,PL-SL,Silesia,Z3,3,,,,,,,,,,,25.25,10.48,25.25,1,1995,0.33,24.24,31.51,12.62,12.12,,24.24
PL,PL-WN,Warmia-Mazury,Z1,3,,,,,,,,,,,32.59,15.47,32.59,1,1997,25.62,31.29,40.68,16.3,15.65,,31.29
PL,PL-WP,Greater Poland,Z3,3,,,,,,,,,,,25.25,6.59,25.25,1,1995,0.33,24.24,31.51,12.62,12.12,,24.24
PL,PL-ZP,West Pomerania,Z3,3,,,,,,,,,,,25.25,8.17,25.25,1,1995,0.33,24.24,31.51,12.62,12.12,,24.24
