Main crops, Type of ownership , Macroregions  development regions and counties, Years, MU: Hectares, Valoare
Rapeseed, Total, Ialomita, Year 1992, Hectares, 407
Rapeseed, Total, Ialomita, Year 1995, Hectares, 4
Rapeseed, Total, Ialomita, Year 1996, Hectares, 45
Rapeseed, Total, Ialomita, Year 1997, Hectares, 809
Rapeseed, Total, Ialomita, Year 1998, Hectares, 3242
Rapeseed, Total, Ialomita, Year 1999, Hectares, 13895
Rapeseed, Total, Ialomita, Year 2000, Hectares, 10809
Rapeseed, Total, Ialomita, Year 2001, Hectares, 14048
Rapeseed, Total, Ialomita, Year 2002, Hectares, 8704
Rapeseed, Total, Ialomita, Year 2003, Hectares, 301
Rapeseed, Total, Ialomita, Year 2004, Hectares, 4153
Rapeseed, Total, Ialomita, Year 2005, Hectares, 10285
Rapeseed, Total, Ialomita, Year 2006, Hectares, 17806
Rapeseed, Total, Ialomita, Year 2007, Hectares, 71116
Rapeseed, Total, Ialomita, Year 2008, Hectares, 31986
Rapeseed, Total, Ialomita, Year 2009, Hectares, 44241
Rapeseed, Total, Ialomita, Year 2010, Hectares, 53904
Rapeseed, Total, Ialomita, Year 2011, Hectares, 28752
Rapeseed, Total, Ialomita, Year 2012, Hectares, 4039
Rapeseed, Total, Ialomita, Year 2013, Hectares, 38950
Rapeseed, Total, Ialomita, Year 2014, Hectares, 48925
Rapeseed, Total, Ialomita, Year 2015, Hectares, 49016
Rapeseed, Total, Ialomita, Year 2016, Hectares, 59073
Rapeseed, Total, Ialomita, Year 2017, Hectares, 63247
Rapeseed, Total, Ialomita, Year 2018, Hectares, 62757
Rapeseed, Total, Ialomita, Year 2019, Hectares, 22687
Rapeseed, Total, Ialomita, Year 2020, Hectares, 21193
Rapeseed, Total, Ialomita, Year 2021, Hectares, 33780
Rapeseed, Total, Ialomita, Year 2022, Hectares, 40046
Rapeseed, Total, Ialomita, Year 2023, Hectares, 45602
Rapeseed, Total, Ialomita, Year 2024, Hectares, 50982
Rapeseed, Total, Satu Mare, Year 1990, Hectares, 1538
Rapeseed, Total, Satu Mare, Year 1991, Hectares, 1626
Rapeseed, Total, Satu Mare, Year 1993, Hectares, 200
Rapeseed, Total, Satu Mare, Year 1998, Hectares, 778
Rapeseed, Total, Satu Mare, Year 1999, Hectares, 1357
Rapeseed, Total, Satu Mare, Year 2000, Hectares, 587
Rapeseed, Total, Satu Mare, Year 2001, Hectares, 791
Rapeseed, Total, Satu Mare, Year 2002, Hectares, 482
Rapeseed, Total, Satu Mare, Year 2003, Hectares, 527
Rapeseed, Total, Satu Mare, Year 2004, Hectares, 287
Rapeseed, Total, Satu Mare, Year 2005, Hectares, 197
Rapeseed, Total, Satu Mare, Year 2006, Hectares, 717
Rapeseed, Total, Satu Mare, Year 2007, Hectares, 3148
Rapeseed, Total, Satu Mare, Year 2008, Hectares, 1340
Rapeseed, Total, Satu Mare, Year 2009, Hectares, 2303
Rapeseed, Total, Satu Mare, Year 2010, Hectares, 1604
Rapeseed, Total, Satu Mare, Year 2011, Hectares, 2620
Rapeseed, Total, Satu Mare, Year 2012, Hectares, 1528
Rapeseed, Total, Satu Mare, Year 2013, Hectares, 1571
Rapeseed, Total, Satu Mare, Year 2014, Hectares, 3001
Rapeseed, Total, Satu Mare, Year 2015, Hectares, 3618
Rapeseed, Total, Satu Mare, Year 2016, Hectares, 5784
Rapeseed, Total, Satu Mare, Year 2017, Hectares, 14947
Rapeseed, Total, Satu Mare, Year 2018, Hectares, 16012
Rapeseed, Total, Satu Mare, Year 2019, Hectares, 16252
Rapeseed, Total, Satu Mare, Year 2020, Hectares, 14616
Rapeseed, Total, Satu Mare, Year 2021, Hectares, 20476
Rapeseed, Total, Satu Mare, Year 2022, Hectares, 18386
Rapeseed, Total, Satu Mare, Year 2023, Hectares, 22212
Rapeseed, Total, Satu Mare, Year 2024, Hectares, 20719
Rapeseed, Total, Suceava, Year 2003, Hectares, 95
Rapeseed, Total, Suceava, Year 2004, Hectares, 177
Rapeseed, Total, Suceava, Year 2005, Hectares, 227
Rapeseed, Total, Suceava, Year 2006, Hectares, 204
Rapeseed, Total, Suceava, Year 2007, Hectares, 264
Rapeseed, Total, Suceava, Year 2008, Hectares, 49
Rapeseed, Total, Suceava, Year 2009, Hectares, 572
Rapeseed, Total, Suceava, Year 2010, Hectares, 767
Rapeseed, Total, Suceava, Year 2011, Hectares, 672
Rapeseed, Total, Suceava, Year 2012, Hectares, 486
Rapeseed, Total, Suceava, Year 2013, Hectares, 1226
Rapeseed, Total, Suceava, Year 2014, Hectares, 1701
Rapeseed, Total, Suceava, Year 2015, Hectares, 1148
Rapeseed, Total, Suceava, Year 2016, Hectares, 1698
Rapeseed, Total, Suceava, Year 2017, Hectares, 1542
Rapeseed, Total, Suceava, Year 2018, Hectares, 3126
Rapeseed, Total, Suceava, Year 2019, Hectares, 2763
Rapeseed, Total, Suceava, Year 2020, Hectares, 2157
Rapeseed, Total, Suceava, Year 2021, Hectares, 2544
Rapeseed, Total, Suceava, Year 2022, Hectares, 2007
Rapeseed, Total, Suceava, Year 2023, Hectares, 2727
Rapeseed, Total, Suceava, Year 2024, Hectares, 3474
Rapeseed, Total, Valcea, Year 1991, Hectares, 43
Rapeseed, Total, Valcea, Year 1999, Hectares, 100
Rapeseed, Total, Valcea, Year 2000, Hectares, 15
Rapeseed, Total, Valcea, Year 2003, Hectares, 80
Rapeseed, Total, Valcea, Year 2007, Hectares, 31
Rapeseed, Total, Valcea, Year 2008, Hectares, 121
Rapeseed, Total, Valcea, Year 2010, Hectares, 155
Rapeseed, Total, Valcea, Year 2011, Hectares, 62
Rapeseed, Total, Valcea, Year 2014, Hectares, 50
Rapeseed, Total, Valcea, Year 2016, Hectares, 201
Rapeseed, Total, Valcea, Year 2017, Hectares, 751
Rapeseed, Total, Valcea, Year 2018, Hectares, 751
Rapeseed, Total, Valcea, Year 2019, Hectares, 751
Rapeseed, Total, Valcea, Year 2020, Hectares, 751
Rapeseed, Total, Valcea, Year 2021, Hectares, 148
Rapeseed, Total, Valcea, Year 2022, Hectares, 379
Rapeseed, Total, Valcea, Year 2023, Hectares, 806
Rapeseed, Total, Valcea, Year 2024, Hectares, 236
Rapeseed, Total, Prahova, Year 1998, Hectares, 314
Rapeseed, Total, Prahova, Year 1999, Hectares, 1434
Rapeseed, Total, Prahova, Year 2000, Hectares, 1040
Rapeseed, Total, Prahova, Year 2001, Hectares, 884
Rapeseed, Total, Prahova, Year 2002, Hectares, 1214
Rapeseed, Total, Prahova, Year 2003, Hectares, 711
Rapeseed, Total, Prahova, Year 2004, Hectares, 209
Rapeseed, Total, Prahova, Year 2005, Hectares, 900
Rapeseed, Total, Prahova, Year 2006, Hectares, 1676
Rapeseed, Total, Prahova, Year 2007, Hectares, 4697
Rapeseed, Total, Prahova, Year 2008, Hectares, 5054
Rapeseed, Total, Prahova, Year 2009, Hectares, 5918
Rapeseed, Total, Prahova, Year 2010, Hectares, 6355
Rapeseed, Total, Prahova, Year 2011, Hectares, 5706
Rapeseed, Total, Prahova, Year 2012, Hectares, 937
Rapeseed, Total, Prahova, Year 2013, Hectares, 4922
Rapeseed, Total, Prahova, Year 2014, Hectares, 9229
Rapeseed, Total, Prahova, Year 2015, Hectares, 9367
Rapeseed, Total, Prahova, Year 2016, Hectares, 8594
Rapeseed, Total, Prahova, Year 2017, Hectares, 13721
Rapeseed, Total, Prahova, Year 2018, Hectares, 16221
Rapeseed, Total, Prahova, Year 2019, Hectares, 7446
Rapeseed, Total, Prahova, Year 2020, Hectares, 8446
Rapeseed, Total, Prahova, Year 2021, Hectares, 12036
Rapeseed, Total, Prahova, Year 2022, Hectares, 12764
Rapeseed, Total, Prahova, Year 2023, Hectares, 14376
Rapeseed, Total, Prahova, Year 2024, Hectares, 11408
Rapeseed, Total, Salaj, Year 1999, Hectares, 56
Rapeseed, Total, Salaj, Year 2004, Hectares, 55
Rapeseed, Total, Salaj, Year 2006, Hectares, 8
Rapeseed, Total, Salaj, Year 2007, Hectares, 52
Rapeseed, Total, Salaj, Year 2008, Hectares, 305
Rapeseed, Total, Salaj, Year 2009, Hectares, 198
Rapeseed, Total, Salaj, Year 2010, Hectares, 8
Rapeseed, Total, Salaj, Year 2011, Hectares, 70
Rapeseed, Total, Salaj, Year 2012, Hectares, 20
Rapeseed, Total, Salaj, Year 2014, Hectares, 52
Rapeseed, Total, Salaj, Year 2015, Hectares, 180
Rapeseed, Total, Salaj, Year 2016, Hectares, 484
Rapeseed, Total, Salaj, Year 2017, Hectares, 244
Rapeseed, Total, Salaj, Year 2018, Hectares, 367
Rapeseed, Total, Salaj, Year 2019, Hectares, 201
Rapeseed, Total, Salaj, Year 2020, Hectares, 1134
Rapeseed, Total, Salaj, Year 2021, Hectares, 1164
Rapeseed, Total, Salaj, Year 2022, Hectares, 1702
Rapeseed, Total, Salaj, Year 2023, Hectares, 1237
Rapeseed, Total, Salaj, Year 2024, Hectares, 1027
Rapeseed, Total, Vaslui, Year 1998, Hectares, 39
Rapeseed, Total, Vaslui, Year 1999, Hectares, 2897
Rapeseed, Total, Vaslui, Year 2000, Hectares, 2491
Rapeseed, Total, Vaslui, Year 2001, Hectares, 2708
Rapeseed, Total, Vaslui, Year 2002, Hectares, 4937
Rapeseed, Total, Vaslui, Year 2003, Hectares, 200
Rapeseed, Total, Vaslui, Year 2004, Hectares, 6196
Rapeseed, Total, Vaslui, Year 2005, Hectares, 6759
Rapeseed, Total, Vaslui, Year 2006, Hectares, 6480
Rapeseed, Total, Vaslui, Year 2007, Hectares, 13418
Rapeseed, Total, Vaslui, Year 2008, Hectares, 15610
Rapeseed, Total, Vaslui, Year 2009, Hectares, 17562
Rapeseed, Total, Vaslui, Year 2010, Hectares, 6074
Rapeseed, Total, Vaslui, Year 2011, Hectares, 9047
Rapeseed, Total, Vaslui, Year 2012, Hectares, 2390
Rapeseed, Total, Vaslui, Year 2013, Hectares, 6725
Rapeseed, Total, Vaslui, Year 2014, Hectares, 11196
Rapeseed, Total, Vaslui, Year 2015, Hectares, 2812
Rapeseed, Total, Vaslui, Year 2016, Hectares, 8541
Rapeseed, Total, Vaslui, Year 2017, Hectares, 13850
Rapeseed, Total, Vaslui, Year 2018, Hectares, 15382
Rapeseed, Total, Vaslui, Year 2019, Hectares, 11856
Rapeseed, Total, Vaslui, Year 2020, Hectares, 10898
Rapeseed, Total, Vaslui, Year 2021, Hectares, 10822
Rapeseed, Total, Vaslui, Year 2022, Hectares, 8064
Rapeseed, Total, Vaslui, Year 2023, Hectares, 17389
Rapeseed, Total, Vaslui, Year 2024, Hectares, 14218
Rapeseed, Total, Arad, Year 1990, Hectares, 1554
Rapeseed, Total, Arad, Year 1991, Hectares, 345
Rapeseed, Total, Arad, Year 1992, Hectares, 107
Rapeseed, Total, Arad, Year 1994, Hectares, 45
Rapeseed, Total, Arad, Year 1998, Hectares, 1014
Rapeseed, Total, Arad, Year 1999, Hectares, 111
Rapeseed, Total, Arad, Year 2000, Hectares, 98
Rapeseed, Total, Arad, Year 2003, Hectares, 15
Rapeseed, Total, Arad, Year 2004, Hectares, 398
Rapeseed, Total, Arad, Year 2005, Hectares, 91
Rapeseed, Total, Arad, Year 2006, Hectares, 755
Rapeseed, Total, Arad, Year 2007, Hectares, 2059
Rapeseed, Total, Arad, Year 2008, Hectares, 2802
Rapeseed, Total, Arad, Year 2009, Hectares, 3015
Rapeseed, Total, Arad, Year 2010, Hectares, 7063
Rapeseed, Total, Arad, Year 2011, Hectares, 9383
Rapeseed, Total, Arad, Year 2012, Hectares, 1014
Rapeseed, Total, Arad, Year 2013, Hectares, 9957
Rapeseed, Total, Arad, Year 2014, Hectares, 14685
Rapeseed, Total, Arad, Year 2015, Hectares, 12795
Rapeseed, Total, Arad, Year 2016, Hectares, 25241
Rapeseed, Total, Arad, Year 2017, Hectares, 24705
Rapeseed, Total, Arad, Year 2018, Hectares, 27057
Rapeseed, Total, Arad, Year 2019, Hectares, 24943
Rapeseed, Total, Arad, Year 2020, Hectares, 34334
Rapeseed, Total, Arad, Year 2021, Hectares, 23212
Rapeseed, Total, Arad, Year 2022, Hectares, 16184
Rapeseed, Total, Arad, Year 2023, Hectares, 31009
Rapeseed, Total, Arad, Year 2024, Hectares, 33952
Rapeseed, Total, Teleorman, Year 1990, Hectares, 820
Rapeseed, Total, Teleorman, Year 1991, Hectares, 100
Rapeseed, Total, Teleorman, Year 1997, Hectares, 666
Rapeseed, Total, Teleorman, Year 1998, Hectares, 1766
Rapeseed, Total, Teleorman, Year 1999, Hectares, 6695
Rapeseed, Total, Teleorman, Year 2000, Hectares, 2887
Rapeseed, Total, Teleorman, Year 2001, Hectares, 3694
Rapeseed, Total, Teleorman, Year 2002, Hectares, 3201
Rapeseed, Total, Teleorman, Year 2003, Hectares, 729
Rapeseed, Total, Teleorman, Year 2004, Hectares, 1900
Rapeseed, Total, Teleorman, Year 2005, Hectares, 1877
Rapeseed, Total, Teleorman, Year 2006, Hectares, 4558
Rapeseed, Total, Teleorman, Year 2007, Hectares, 15228
Rapeseed, Total, Teleorman, Year 2008, Hectares, 24020
Rapeseed, Total, Teleorman, Year 2009, Hectares, 30380
Rapeseed, Total, Teleorman, Year 2010, Hectares, 35885
Rapeseed, Total, Teleorman, Year 2011, Hectares, 48360
Rapeseed, Total, Teleorman, Year 2012, Hectares, 14931
Rapeseed, Total, Teleorman, Year 2013, Hectares, 23758
Rapeseed, Total, Teleorman, Year 2014, Hectares, 30758
Rapeseed, Total, Teleorman, Year 2015, Hectares, 26535
Rapeseed, Total, Teleorman, Year 2016, Hectares, 32895
Rapeseed, Total, Teleorman, Year 2017, Hectares, 57159
Rapeseed, Total, Teleorman, Year 2018, Hectares, 59166
Rapeseed, Total, Teleorman, Year 2019, Hectares, 27599
Rapeseed, Total, Teleorman, Year 2020, Hectares, 19112
Rapeseed, Total, Teleorman, Year 2021, Hectares, 29164
Rapeseed, Total, Teleorman, Year 2022, Hectares, 41792
Rapeseed, Total, Teleorman, Year 2023, Hectares, 57449
Rapeseed, Total, Teleorman, Year 2024, Hectares, 41117
Rapeseed, Total, Alba, Year 1990, Hectares, 40
Rapeseed, Total, Alba, Year 2001, Hectares, 36
Rapeseed, Total, Alba, Year 2002, Hectares, 33
Rapeseed, Total, Alba, Year 2003, Hectares, 70
Rapeseed, Total, Alba, Year 2004, Hectares, 20
Rapeseed, Total, Alba, Year 2005, Hectares, 158
Rapeseed, Total, Alba, Year 2006, Hectares, 65
Rapeseed, Total, Alba, Year 2007, Hectares, 893
Rapeseed, Total, Alba, Year 2008, Hectares, 828
Rapeseed, Total, Alba, Year 2009, Hectares, 1850
Rapeseed, Total, Alba, Year 2010, Hectares, 1560
Rapeseed, Total, Alba, Year 2011, Hectares, 1111
Rapeseed, Total, Alba, Year 2012, Hectares, 454
Rapeseed, Total, Alba, Year 2013, Hectares, 1242
Rapeseed, Total, Alba, Year 2014, Hectares, 2210
Rapeseed, Total, Alba, Year 2015, Hectares, 1272
Rapeseed, Total, Alba, Year 2016, Hectares, 1281
Rapeseed, Total, Alba, Year 2017, Hectares, 1290
Rapeseed, Total, Alba, Year 2018, Hectares, 2565
Rapeseed, Total, Alba, Year 2019, Hectares, 883
Rapeseed, Total, Alba, Year 2020, Hectares, 1373
Rapeseed, Total, Alba, Year 2021, Hectares, 2407
Rapeseed, Total, Alba, Year 2022, Hectares, 2434
Rapeseed, Total, Alba, Year 2023, Hectares, 2808
Rapeseed, Total, Alba, Year 2024, Hectares, 2977
Rapeseed, Total, Braila, Year 1990, Hectares, 1661
Rapeseed, Total, Braila, Year 1991, Hectares, 1905
Rapeseed, Total, Braila, Year 1992, Hectares, 55
Rapeseed, Total, Braila, Year 1996, Hectares, 64
Rapeseed, Total, Braila, Year 1997, Hectares, 283
Rapeseed, Total, Braila, Year 1998, Hectares, 1886
Rapeseed, Total, Braila, Year 1999, Hectares, 9757
Rapeseed, Total, Braila, Year 2000, Hectares, 10589
Rapeseed, Total, Braila, Year 2001, Hectares, 8659
Rapeseed, Total, Braila, Year 2002, Hectares, 10652
Rapeseed, Total, Braila, Year 2003, Hectares, 24
Rapeseed, Total, Braila, Year 2004, Hectares, 3818
Rapeseed, Total, Braila, Year 2005, Hectares, 6634
Rapeseed, Total, Braila, Year 2006, Hectares, 11862
Rapeseed, Total, Braila, Year 2007, Hectares, 32135
Rapeseed, Total, Braila, Year 2008, Hectares, 29617
Rapeseed, Total, Braila, Year 2009, Hectares, 28521
Rapeseed, Total, Braila, Year 2010, Hectares, 30911
Rapeseed, Total, Braila, Year 2011, Hectares, 33669
Rapeseed, Total, Braila, Year 2012, Hectares, 8977
Rapeseed, Total, Braila, Year 2013, Hectares, 23933
Rapeseed, Total, Braila, Year 2014, Hectares, 26700
Rapeseed, Total, Braila, Year 2015, Hectares, 23487
Rapeseed, Total, Braila, Year 2016, Hectares, 18900
Rapeseed, Total, Braila, Year 2017, Hectares, 26304
Rapeseed, Total, Braila, Year 2018, Hectares, 25203
Rapeseed, Total, Braila, Year 2019, Hectares, 6481
Rapeseed, Total, Braila, Year 2020, Hectares, 6345
Rapeseed, Total, Braila, Year 2021, Hectares, 5743
Rapeseed, Total, Braila, Year 2022, Hectares, 6216
Rapeseed, Total, Braila, Year 2023, Hectares, 13892
Rapeseed, Total, Braila, Year 2024, Hectares, 12414
Rapeseed, Total, Caras-Severin, Year 1990, Hectares, 218
Rapeseed, Total, Caras-Severin, Year 1991, Hectares, 335
Rapeseed, Total, Caras-Severin, Year 1992, Hectares, 85
Rapeseed, Total, Caras-Severin, Year 2004, Hectares, 77
Rapeseed, Total, Caras-Severin, Year 2005, Hectares, 50
Rapeseed, Total, Caras-Severin, Year 2007, Hectares, 4
Rapeseed, Total, Caras-Severin, Year 2009, Hectares, 134
Rapeseed, Total, Caras-Severin, Year 2010, Hectares, 215
Rapeseed, Total, Caras-Severin, Year 2012, Hectares, 71
Rapeseed, Total, Caras-Severin, Year 2013, Hectares, 392
Rapeseed, Total, Caras-Severin, Year 2014, Hectares, 902
Rapeseed, Total, Caras-Severin, Year 2015, Hectares, 2417
Rapeseed, Total, Caras-Severin, Year 2016, Hectares, 3643
Rapeseed, Total, Caras-Severin, Year 2017, Hectares, 4242
Rapeseed, Total, Caras-Severin, Year 2018, Hectares, 6669
Rapeseed, Total, Caras-Severin, Year 2019, Hectares, 2116
Rapeseed, Total, Caras-Severin, Year 2020, Hectares, 4205
Rapeseed, Total, Caras-Severin, Year 2021, Hectares, 3856
Rapeseed, Total, Caras-Severin, Year 2022, Hectares, 4594
Rapeseed, Total, Caras-Severin, Year 2023, Hectares, 3427
Rapeseed, Total, Caras-Severin, Year 2024, Hectares, 4270
Rapeseed, Total, Brasov, Year 1999, Hectares, 11
Rapeseed, Total, Brasov, Year 2006, Hectares, 10
Rapeseed, Total, Brasov, Year 2007, Hectares, 187
Rapeseed, Total, Brasov, Year 2008, Hectares, 38
Rapeseed, Total, Brasov, Year 2009, Hectares, 139
Rapeseed, Total, Brasov, Year 2010, Hectares, 498
Rapeseed, Total, Brasov, Year 2011, Hectares, 817
Rapeseed, Total, Brasov, Year 2012, Hectares, 725
Rapeseed, Total, Brasov, Year 2013, Hectares, 940
Rapeseed, Total, Brasov, Year 2014, Hectares, 1048
Rapeseed, Total, Brasov, Year 2015, Hectares, 1148
Rapeseed, Total, Brasov, Year 2016, Hectares, 1723
Rapeseed, Total, Brasov, Year 2017, Hectares, 2049
Rapeseed, Total, Brasov, Year 2018, Hectares, 2223
Rapeseed, Total, Brasov, Year 2019, Hectares, 1988
Rapeseed, Total, Brasov, Year 2020, Hectares, 1342
Rapeseed, Total, Brasov, Year 2021, Hectares, 3018
Rapeseed, Total, Brasov, Year 2022, Hectares, 2406
Rapeseed, Total, Brasov, Year 2023, Hectares, 2681
Rapeseed, Total, Brasov, Year 2024, Hectares, 2760
Rapeseed, Total, Buzau, Year 1998, Hectares, 316
Rapeseed, Total, Buzau, Year 1999, Hectares, 434
Rapeseed, Total, Buzau, Year 2000, Hectares, 429
Rapeseed, Total, Buzau, Year 2001, Hectares, 1417
Rapeseed, Total, Buzau, Year 2002, Hectares, 2022
Rapeseed, Total, Buzau, Year 2004, Hectares, 151
Rapeseed, Total, Buzau, Year 2005, Hectares, 917
Rapeseed, Total, Buzau, Year 2006, Hectares, 1982
Rapeseed, Total, Buzau, Year 2007, Hectares, 13189
Rapeseed, Total, Buzau, Year 2008, Hectares, 10043
Rapeseed, Total, Buzau, Year 2009, Hectares, 17113
Rapeseed, Total, Buzau, Year 2010, Hectares, 19823
Rapeseed, Total, Buzau, Year 2011, Hectares, 5607
Rapeseed, Total, Buzau, Year 2012, Hectares, 2335
Rapeseed, Total, Buzau, Year 2013, Hectares, 17934
Rapeseed, Total, Buzau, Year 2014, Hectares, 22127
Rapeseed, Total, Buzau, Year 2015, Hectares, 24848
Rapeseed, Total, Buzau, Year 2016, Hectares, 21380
Rapeseed, Total, Buzau, Year 2017, Hectares, 32389
Rapeseed, Total, Buzau, Year 2018, Hectares, 33431
Rapeseed, Total, Buzau, Year 2019, Hectares, 12074
Rapeseed, Total, Buzau, Year 2020, Hectares, 13893
Rapeseed, Total, Buzau, Year 2021, Hectares, 16583
Rapeseed, Total, Buzau, Year 2022, Hectares, 16130
Rapeseed, Total, Buzau, Year 2023, Hectares, 22678
Rapeseed, Total, Buzau, Year 2024, Hectares, 17634
Rapeseed, Total, Hunedoara, Year 1999, Hectares, 5
Rapeseed, Total, Hunedoara, Year 2002, Hectares, 130
Rapeseed, Total, Hunedoara, Year 2006, Hectares, 95
Rapeseed, Total, Hunedoara, Year 2007, Hectares, 796
Rapeseed, Total, Hunedoara, Year 2008, Hectares, 399
Rapeseed, Total, Hunedoara, Year 2009, Hectares, 242
Rapeseed, Total, Hunedoara, Year 2010, Hectares, 83
Rapeseed, Total, Hunedoara, Year 2011, Hectares, 203
Rapeseed, Total, Hunedoara, Year 2012, Hectares, 2
Rapeseed, Total, Hunedoara, Year 2013, Hectares, 129
Rapeseed, Total, Hunedoara, Year 2014, Hectares, 414
Rapeseed, Total, Hunedoara, Year 2015, Hectares, 224
Rapeseed, Total, Hunedoara, Year 2016, Hectares, 140
Rapeseed, Total, Hunedoara, Year 2017, Hectares, 235
Rapeseed, Total, Hunedoara, Year 2018, Hectares, 290
Rapeseed, Total, Hunedoara, Year 2019, Hectares, 183
Rapeseed, Total, Hunedoara, Year 2020, Hectares, 340
Rapeseed, Total, Hunedoara, Year 2021, Hectares, 616
Rapeseed, Total, Hunedoara, Year 2022, Hectares, 648
Rapeseed, Total, Hunedoara, Year 2023, Hectares, 915
Rapeseed, Total, Hunedoara, Year 2024, Hectares, 996
Rapeseed, Total, Ilfov, Year 2000, Hectares, 1008
Rapeseed, Total, Ilfov, Year 2001, Hectares, 1449
Rapeseed, Total, Ilfov, Year 2002, Hectares, 881
Rapeseed, Total, Ilfov, Year 2003, Hectares, 333
Rapeseed, Total, Ilfov, Year 2004, Hectares, 2141
Rapeseed, Total, Ilfov, Year 2005, Hectares, 1549
Rapeseed, Total, Ilfov, Year 2006, Hectares, 1280
Rapeseed, Total, Ilfov, Year 2007, Hectares, 4246
Rapeseed, Total, Ilfov, Year 2008, Hectares, 3441
Rapeseed, Total, Ilfov, Year 2009, Hectares, 2965
Rapeseed, Total, Ilfov, Year 2010, Hectares, 5751
Rapeseed, Total, Ilfov, Year 2011, Hectares, 3945
Rapeseed, Total, Ilfov, Year 2012, Hectares, 2388
Rapeseed, Total, Ilfov, Year 2013, Hectares, 4749
Rapeseed, Total, Ilfov, Year 2014, Hectares, 7634
Rapeseed, Total, Ilfov, Year 2015, Hectares, 7388
Rapeseed, Total, Ilfov, Year 2016, Hectares, 8022
Rapeseed, Total, Ilfov, Year 2017, Hectares, 10181
Rapeseed, Total, Ilfov, Year 2018, Hectares, 11890
Rapeseed, Total, Ilfov, Year 2019, Hectares, 7529
Rapeseed, Total, Ilfov, Year 2020, Hectares, 7718
Rapeseed, Total, Ilfov, Year 2021, Hectares, 10524
Rapeseed, Total, Ilfov, Year 2022, Hectares, 10362
Rapeseed, Total, Ilfov, Year 2023, Hectares, 10095
Rapeseed, Total, Ilfov, Year 2024, Hectares, 8093
Rapeseed, Total, Constanta, Year 1990, Hectares, 947
Rapeseed, Total, Constanta, Year 1991, Hectares, 1396
Rapeseed, Total, Constanta, Year 1992, Hectares, 100
Rapeseed, Total, Constanta, Year 1993, Hectares, 189
Rapeseed, Total, Constanta, Year 1995, Hectares, 75
Rapeseed, Total, Constanta, Year 1996, Hectares, 317
Rapeseed, Total, Constanta, Year 1997, Hectares, 1239
Rapeseed, Total, Constanta, Year 1998, Hectares, 4988
Rapeseed, Total, Constanta, Year 1999, Hectares, 16579
Rapeseed, Total, Constanta, Year 2000, Hectares, 12688
Rapeseed, Total, Constanta, Year 2001, Hectares, 17652
Rapeseed, Total, Constanta, Year 2002, Hectares, 9775
Rapeseed, Total, Constanta, Year 2003, Hectares, 1946
Rapeseed, Total, Constanta, Year 2004, Hectares, 6792
Rapeseed, Total, Constanta, Year 2005, Hectares, 20438
Rapeseed, Total, Constanta, Year 2006, Hectares, 8281
Rapeseed, Total, Constanta, Year 2007, Hectares, 41459
Rapeseed, Total, Constanta, Year 2008, Hectares, 64058
Rapeseed, Total, Constanta, Year 2009, Hectares, 51449
Rapeseed, Total, Constanta, Year 2010, Hectares, 80168
Rapeseed, Total, Constanta, Year 2011, Hectares, 31556
Rapeseed, Total, Constanta, Year 2012, Hectares, 7636
Rapeseed, Total, Constanta, Year 2013, Hectares, 6983
Rapeseed, Total, Constanta, Year 2014, Hectares, 32655
Rapeseed, Total, Constanta, Year 2015, Hectares, 38094
Rapeseed, Total, Constanta, Year 2016, Hectares, 44509
Rapeseed, Total, Constanta, Year 2017, Hectares, 44267
Rapeseed, Total, Constanta, Year 2018, Hectares, 44781
Rapeseed, Total, Constanta, Year 2019, Hectares, 25205
Rapeseed, Total, Constanta, Year 2020, Hectares, 35213
Rapeseed, Total, Constanta, Year 2021, Hectares, 34223
Rapeseed, Total, Constanta, Year 2022, Hectares, 37309
Rapeseed, Total, Constanta, Year 2023, Hectares, 52652
Rapeseed, Total, Constanta, Year 2024, Hectares, 11655
Rapeseed, Total, Covasna, Year 2002, Hectares, 3
Rapeseed, Total, Covasna, Year 2006, Hectares, 69
Rapeseed, Total, Covasna, Year 2007, Hectares, 97
Rapeseed, Total, Covasna, Year 2008, Hectares, 107
Rapeseed, Total, Covasna, Year 2009, Hectares, 41
Rapeseed, Total, Covasna, Year 2010, Hectares, 294
Rapeseed, Total, Covasna, Year 2011, Hectares, 1142
Rapeseed, Total, Covasna, Year 2012, Hectares, 145
Rapeseed, Total, Covasna, Year 2013, Hectares, 1282
Rapeseed, Total, Covasna, Year 2014, Hectares, 1701
Rapeseed, Total, Covasna, Year 2015, Hectares, 1529
Rapeseed, Total, Covasna, Year 2016, Hectares, 2282
Rapeseed, Total, Covasna, Year 2017, Hectares, 2227
Rapeseed, Total, Covasna, Year 2018, Hectares, 2211
Rapeseed, Total, Covasna, Year 2019, Hectares, 2136
Rapeseed, Total, Covasna, Year 2020, Hectares, 2309
Rapeseed, Total, Covasna, Year 2021, Hectares, 2599
Rapeseed, Total, Covasna, Year 2022, Hectares, 2565
Rapeseed, Total, Covasna, Year 2023, Hectares, 2248
Rapeseed, Total, Covasna, Year 2024, Hectares, 2432
Rapeseed, Total, Timis, Year 1990, Hectares, 1667
Rapeseed, Total, Timis, Year 1991, Hectares, 440
Rapeseed, Total, Timis, Year 1995, Hectares, 4
Rapeseed, Total, Timis, Year 1997, Hectares, 10
Rapeseed, Total, Timis, Year 1998, Hectares, 1783
Rapeseed, Total, Timis, Year 1999, Hectares, 262
