Main crops, Type of ownership , Macroregions  development regions and counties, Years, MU: Hectares, Valoare
Rapeseed, Total, Bihor, Year 2009, Hectares, 4933
Rapeseed, Total, Bihor, Year 2010, Hectares, 3078
Rapeseed, Total, Bihor, Year 2011, Hectares, 3367
Rapeseed, Total, Bihor, Year 2012, Hectares, 1874
Rapeseed, Total, Bihor, Year 2013, Hectares, 4168
Rapeseed, Total, Bihor, Year 2014, Hectares, 5435
Rapeseed, Total, Bihor, Year 2015, Hectares, 4516
Rapeseed, Total, Bihor, Year 2016, Hectares, 5549
Rapeseed, Total, Bihor, Year 2017, Hectares, 10701
Rapeseed, Total, Bihor, Year 2018, Hectares, 12696
Rapeseed, Total, Bihor, Year 2019, Hectares, 15101
Rapeseed, Total, Bihor, Year 2020, Hectares, 14252
Rapeseed, Total, Bihor, Year 2021, Hectares, 18668
Rapeseed, Total, Bihor, Year 2022, Hectares, 17784
Rapeseed, Total, Bihor, Year 2023, Hectares, 19244
Rapeseed, Total, Bihor, Year 2024, Hectares, 20206
Rapeseed, Total, Dolj, Year 1990, Hectares, 540
Rapeseed, Total, Dolj, Year 1991, Hectares, 434
Rapeseed, Total, Dolj, Year 1995, Hectares, 50
Rapeseed, Total, Dolj, Year 1997, Hectares, 200
Rapeseed, Total, Dolj, Year 1998, Hectares, 745
Rapeseed, Total, Dolj, Year 1999, Hectares, 659
Rapeseed, Total, Dolj, Year 2000, Hectares, 401
Rapeseed, Total, Dolj, Year 2001, Hectares, 2446
Rapeseed, Total, Dolj, Year 2002, Hectares, 4854
Rapeseed, Total, Dolj, Year 2003, Hectares, 3790
Rapeseed, Total, Dolj, Year 2004, Hectares, 2889
Rapeseed, Total, Dolj, Year 2005, Hectares, 3114
Rapeseed, Total, Dolj, Year 2006, Hectares, 4308
Rapeseed, Total, Dolj, Year 2007, Hectares, 14964
Rapeseed, Total, Dolj, Year 2008, Hectares, 14630
Rapeseed, Total, Dolj, Year 2009, Hectares, 14408
Rapeseed, Total, Dolj, Year 2010, Hectares, 28915
Rapeseed, Total, Dolj, Year 2011, Hectares, 19371
Rapeseed, Total, Dolj, Year 2012, Hectares, 8284
Rapeseed, Total, Dolj, Year 2013, Hectares, 4882
Rapeseed, Total, Dolj, Year 2014, Hectares, 8117
Rapeseed, Total, Dolj, Year 2015, Hectares, 13845
Rapeseed, Total, Dolj, Year 2016, Hectares, 17768
Rapeseed, Total, Dolj, Year 2017, Hectares, 29061
Rapeseed, Total, Dolj, Year 2018, Hectares, 30111
Rapeseed, Total, Dolj, Year 2019, Hectares, 14933
Rapeseed, Total, Dolj, Year 2020, Hectares, 12702
Rapeseed, Total, Dolj, Year 2021, Hectares, 17319
Rapeseed, Total, Dolj, Year 2022, Hectares, 17340
Rapeseed, Total, Dolj, Year 2023, Hectares, 24215
Rapeseed, Total, Dolj, Year 2024, Hectares, 23252
Rapeseed, Total, Bistrita-Nasaud, Year 2003, Hectares, 31
Rapeseed, Total, Bistrita-Nasaud, Year 2004, Hectares, 50
Rapeseed, Total, Bistrita-Nasaud, Year 2005, Hectares, 16
Rapeseed, Total, Bistrita-Nasaud, Year 2008, Hectares, 53
Rapeseed, Total, Bistrita-Nasaud, Year 2010, Hectares, 1
Rapeseed, Total, Bistrita-Nasaud, Year 2011, Hectares, 4
Rapeseed, Total, Bistrita-Nasaud, Year 2013, Hectares, 1
Rapeseed, Total, Bistrita-Nasaud, Year 2014, Hectares, 19
Rapeseed, Total, Bistrita-Nasaud, Year 2015, Hectares, 75
Rapeseed, Total, Bistrita-Nasaud, Year 2017, Hectares, 38
