country,region_id,region_name,year,risk_zone,i_drought_days,crust_flag,elf_raw,i_frost_days,frost_catastrophic,lr_standard_pct,lr_winter_pct,lr_full_pct,lat,lon,clay_pct,sowing_doy
MD,MD-AN,Anenii Noi,2016,Z2,20,0,0.9099889486887538,1,0,32.66,0.16,37.82,46.88,29.23,35,248
MD,MD-BA,Bălți,2016,Z1,7,0,0.09652032552329681,2,0,3.46,0.32,8.78,47.76,27.93,32,245
MD,MD-BR,Briceni,2016,Z1,19,0,0.8769112337997742,2,0,31.47,0.32,36.79,48.37,27.07,30,243
MD,MD-CA,Cahul,2016,Z1,14,1,0.5531731738695379,0,0,21.35,0.0,26.35,45.9,28.2,35,252
MD,MD-CM,Căușeni,2016,Z1,17,1,0.7796280248474575,0,0,29.48,0.0,34.48,46.63,29.41,37,250
MD,MD-CI,Cimișlia,2016,Z1,17,1,0.7796280248474575,1,0,29.48,0.16,34.64,46.52,28.78,37,250
MD,MD-CR,Criuleni,2016,Z2,0,0,0.009134684189400336,1,0,0.33,0.16,5.49,47.21,29.15,33,247
MD,MD-DO,Dondușeni,2016,Z1,0,0,0.009134684189400336,2,0,0.33,0.32,5.64,48.23,27.6,30,243
MD,MD-DR,Drochia,2016,Z1,0,0,0.009134684189400336,2,0,0.33,0.32,5.64,48.02,27.87,30,244
MD,MD-DU,Dubăsari,2016,Z2,9,0,0.17704464793438088,1,0,6.35,0.16,11.51,47.27,29.15,33,247
MD,MD-ED,Edineț,2016,Z2,12,0,0.38071842411903734,2,0,13.66,0.32,18.98,48.17,27.3,29,243
MD,MD-FL,Florești,2016,Z1,5,0,0.05037845155623271,2,0,1.81,0.32,7.12,47.9,28.28,30,244
MD,MD-GL,Glodeni,2016,Z1,0,0,0.009134684189400336,2,0,0.33,0.32,5.64,47.78,27.52,30,244
MD,MD-HI,Hîncești,2016,Z2,3,0,0.025668175767341234,0,0,0.92,0.0,5.92,46.83,28.58,35,248
MD,MD-IA,Ialoveni,2016,Z2,5,0,0.05037845155623271,0,0,1.81,0.0,6.81,46.87,28.77,35,248
MD,MD-LE,Leova,2016,Z1,16,1,0.7137158367436659,0,0,27.12,0.0,32.12,46.48,28.26,37,250
MD,MD-NI,Nisporeni,2016,Z2,12,0,0.38071842411903734,2,0,13.66,0.32,18.98,47.08,28.18,33,247
MD,MD-OC,Ocnița,2016,Z2,10,0,0.23388549229737815,2,0,8.39,0.32,13.71,48.38,27.47,28,243
MD,MD-OR,Orhei,2016,Z2,14,0,0.5531731738695379,1,0,19.85,0.16,25.01,47.38,28.82,33,247
MD,MD-RE,Rezina,2016,Z2,10,0,0.23388549229737815,3,0,8.39,0.47,13.87,47.75,28.97,32,245
MD,MD-RI,Rîșcani,2016,Z1,3,0,0.025668175767341234,2,0,0.92,0.32,6.24,47.95,27.57,30,244
MD,MD-SI,Sîngerei,2016,Z1,0,0,0.009134684189400336,2,0,0.33,0.32,5.64,47.63,28.13,31,245
MD,MD-SO,Soroca,2016,Z1,3,0,0.025668175767341234,2,0,0.92,0.32,6.24,48.16,28.3,30,243
MD,MD-ST,Strășeni,2016,Z2,4,0,0.03603723357084454,1,0,1.29,0.16,6.45,47.14,28.6,33,247
MD,MD-SD,Șoldănești,2016,Z2,12,0,0.38071842411903734,3,0,13.66,0.47,19.14,47.82,28.8,30,244
MD,MD-ST2,Ștefan Vodă,2016,Z1,16,1,0.7137158367436659,0,0,27.12,0.0,32.12,46.52,29.67,35,250
MD,MD-TA,Taraclia,2016,Z1,15,0,0.6372619853422139,0,0,22.87,0.0,27.87,45.9,28.67,37,252
MD,MD-TE,Telenești,2016,Z2,0,0,0.009134684189400336,2,0,0.33,0.32,5.64,47.5,28.37,31,246
MD,MD-UN,Ungheni,2016,Z2,10,0,0.23388549229737815,1,0,8.39,0.16,13.55,47.21,27.8,32,246
