country,region_id,region_name,year,risk_zone,i_drought_days,crust_flag,elf_raw,i_frost_days,frost_catastrophic,lr_standard_pct,lr_winter_pct,lr_full_pct,lat,lon,clay_pct,sowing_doy
SK,SK-BA,Bratislava,2003,Z2,12,0,0.38071842411903734,2,0,13.66,0.28,18.95,48.15,17.11,32,253
SK,SK-BB,Banská Bystrica,2003,Z3,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,48.74,19.15,25,248
SK,SK-KE,Košice,2003,Z1,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,48.72,21.26,28,247
SK,SK-NI,Nitra,2003,Z1,3,0,0.025668175767341234,4,0,0.92,0.57,6.49,48.31,18.09,35,253
SK,SK-PO,Prešov,2003,Z2,0,0,0.009134684189400336,2,0,0.33,0.28,5.61,49.0,21.24,26,247
SK,SK-TN,Trenčín,2003,Z2,1,0,0.012913301141131968,3,0,0.46,0.43,5.89,48.89,18.04,27,249
SK,SK-TT,Trnava,2003,Z2,3,0,0.025668175767341234,1,0,0.92,0.14,6.06,48.37,17.59,33,252
SK,SK-ZA,Žilina,2003,Z3,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,49.22,18.74,24,248
