country,region_id,region_name,year,risk_zone,i_drought_days,crust_flag,elf_raw,i_frost_days,frost_catastrophic,lr_standard_pct,lr_winter_pct,lr_full_pct,lat,lon,clay_pct,sowing_doy
SK,SK-BA,Bratislava,1991,Z2,11,0,0.3022724360915589,0,0,10.85,0.0,15.85,48.15,17.11,32,253
SK,SK-BB,Banská Bystrica,1991,Z3,0,0,0.009134684189400336,2,0,0.33,0.28,5.61,48.74,19.15,25,248
SK,SK-KE,Košice,1991,Z1,0,0,0.009134684189400336,3,0,0.33,0.43,5.76,48.72,21.26,28,247
SK,SK-NI,Nitra,1991,Z1,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,48.31,18.09,35,253
SK,SK-PO,Prešov,1991,Z2,0,0,0.009134684189400336,3,0,0.33,0.43,5.76,49.0,21.24,26,247
SK,SK-TN,Trenčín,1991,Z2,0,0,0.009134684189400336,2,0,0.33,0.28,5.61,48.89,18.04,27,249
SK,SK-TT,Trnava,1991,Z2,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,48.37,17.59,33,252
SK,SK-ZA,Žilina,1991,Z3,0,0,0.009134684189400336,0,0,0.33,0.0,5.33,49.22,18.74,24,248
